"TRAN","TPLOT","TAG","SPEC","YRTAG","YRREC","STAT87","STAT98","STAT99","STAT00","STAT10","STAT11","YRDERC","DBH87","DECW87","DECM87","CPOS87","DBH98","NOTE98","DBH99","DAH99","HTCL99","HT99","COND99","CII00","NOTE00","DBH10","NOTE10","DBH11","DAH11","HTCL11","HT11","SNHT11","COND11","CII11","NOTE11","HR","DIST","WTAZ","WITN","ELEVCL","ASPCL","SLOPE87","MICR","CLASS","CODE98A","PISAP87","HRB87","HRB1_87","HRB2_87","HRB3_87","SHRB1_87","SHRB2_87","SHRB3_87","SLOPE10_D","SLOPE10_P","CODE98B","ASP","ELEV","SOILOLD","SLOPE99","TRAD","TRAD11","ABSRAD","ABSRAD11","slope11_d","asp11","elev_ft11","elev_m11","EDBH99","EDBH11","FORM99","FORM11","soilcl","TECH","htpred87","htpred98","htpred99","htpred10","htpred11","HHhtpred87","HHhtpred98","HHhtpred99","HHhtpred10","HHhtpred11","canht87","canht98","canht99","canht10","canht11","ht87","ht98","ht99","ht10","ht11","kozak87","honer87","kozak98","honer98","kozak99","honer99","kozak10","honer10","kozak11","honer11","clark87","clark98","clark99","clark10","clark11","bv87","bv98","bv99","bv10","bv11"
"E320",1,201,"BEAL",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,7.5,NA,NA,"",10.3,"",NA,NA,"",NA,"",NA,"",11.8,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",7.94320822822086,9.6568059502487,NA,11.4314401840597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94320822822086,9.6568059502487,NA,11.4314401840597,NA,NA,0.016555346224592,NA,0.0371685664223911,NA,NA,NA,0.0565267323635725,NA,NA,0.020812028139879,0.0463425485638597,NA,0.0676606626549878,NA,0.020812028139879,0.0463425485638597,NA,0.0676606626549878,NA
"E320",1,202,"PIRU",1987,NA,"DEAD","DEAD","","","","",1987,6.6,4,4,"o",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"5",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",6.02282183885653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02282183885653,NA,NA,NA,NA,0.0115215565445235,0.0100121866962796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115215565445235,NA,NA,NA,NA
"E320",1,204,"BEAL",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,32.2,NA,NA,"",38.7,"",NA,NA,"",NA,"",NA,"",46.1,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",15.9886610993,16.6482392108668,NA,17.2221661066656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9886610993,16.6482392108668,NA,17.2221661066656,NA,NA,0.558412400618438,NA,0.833675458335745,NA,NA,NA,1.21593410198932,NA,NA,0.635871541224685,0.943064009260509,NA,1.36814490319954,NA,0.635871541224685,0.943064009260509,NA,1.36814490319954,NA
"E320",1,206,"ABBA",1987,NA,"ALIVE","ALIVE","","","DEAD","",2010,27.3,NA,NA,"",29.6,"",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,"","",NA,"",NA,4.72,349,1,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",17.0107027813802,17.5339402186476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0107027813802,17.5339402186476,NA,NA,NA,0.572230556319098,0.433628018001155,0.700014646166383,0.520908387535408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572230556319098,0.700014646166383,NA,NA,NA
"E320",1,207,"PIRU",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,6.9,1,2,"i",8.1,"",NA,NA,"",NA,"",NA,"",9.7,"",NA,NA,"",NA,"","",NA,"",NA,4.72,257,1,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",6.28665879920082,7.35193495285427,NA,8.15859697214106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28665879920082,7.35193495285427,NA,8.15859697214106,NA,0.0131030348958917,0.0114043683910247,0.0209942634116012,0.0182624247928861,NA,NA,0.0333520347474212,0.028924278896468,NA,NA,NA,NA,NA,NA,NA,0.0131030348958917,0.0209942634116012,NA,0.0333520347474212,NA
"E320",1,209,"PRPE",1987,NA,"ALIVE","DEAD","","","DEAD","",1998,15.3,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"5",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",10.4276305114901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4276305114901,NA,NA,NA,NA,NA,0.0879900036335922,NA,NA,NA,NA,NA,NA,NA,NA,0.0929266302091141,NA,NA,NA,NA,0.0929266302091141,NA,NA,NA,NA
"E320",1,9874,"PIRU",2010,2010,"","","","","ALIVE","",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"",5.8,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",NA,NA,NA,4.93978414640576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93978414640576,NA,NA,NA,NA,NA,NA,NA,0.00748879712893737,0.0063832257561231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00748879712893737,NA
"E320",1,9875,"BEAL",2010,2010,"","","","","ALIVE","",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"",5.7,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",NA,NA,NA,7.42984638944846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42984638944846,NA,NA,NA,NA,NA,NA,NA,NA,0.00900179363851881,NA,NA,NA,NA,NA,0.00997626417176498,NA,NA,NA,NA,0.00997626417176498,NA
"E320",1,9876,"ABBA",2010,2010,"","","","","ALIVE","",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"",6.1,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",NA,NA,NA,4.8565734376409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8565734376409,NA,NA,NA,NA,NA,NA,NA,0.00718347350689286,0.00775139690107028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00718347350689286,NA
"E320",1,9878,"ABBA",2010,2010,"","","","","ALIVE","",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"",6.6,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",NA,NA,NA,5.20747286063761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.20747286063761,NA,NA,NA,NA,NA,NA,NA,0.0089797253536034,0.00965898090038368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0089797253536034,NA
